SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN
Dalam ujian nasional (UN) matematika yang lalu diketahui sebagai berikut. 1) Willy menyelesaikan ujian sebelum Ofi. 2)Kara menyelesaikan ujian sebelum Willy. 3)Ofi menyelesaikan ujian setelah Magenta. Jika Ujang adalah siswa yang menyelesaikan ujian sebelum Ofi. dan Fathan selesai setelah Willy. manakah yang berikut ini tidak bisa benar jika Magenta selesai setelah Ujang dan sebelum Fathan?;Fathan selesai sebelum Kara.;Magenta selesai sebelum Ofi.;Ujang selesai sebelum Willy.;Fathan selesai sebelum Ofi.;;a
Dalam ujian nasional (UN) matematika yang lalu diketahui sebagai berikut. 1) Willy menyelesaikan ujian sebelum Ofi. 2)Kara menyelesaikan ujian sebelum Willy. 3)Ofi menyelesaikan ujian setelah Magenta. Jika Anna adalah siswa yang menyelesaikan ujian setelah Ihsan dan Willy. manakah yang berikut ini harus benar?;Anna selesai sebeium Ofi.;Kara selesai sebelum Anna.;Ihsan selesai sebelum Willy.;Ihsan selesai sebelum Ofi.;;b
A, B. C, D, dan E tinggal di sepanjang sebuah jalan lurus dari timur ke barat sebagai berikut. 1) Tempat tinggal A berjarak 5 km dari B. 2) Tempat tinggal C berjarak 7 km dari D. 3) Tempat tinggal E berjarak 2 km dari C. 4) Tempat tinggal B berjarak 3 km dari C. 5) Jarak di antara rumah-rumah diukur hanya dengan garis lurus. Manakah yang berikut ini bisa benar?;Tempat tinggal D berjarak 2 km dari B.;Tempat tinggal E berjarak 2 km dari B.;Tempat tinggal A berjarak 5 km dari C.;Tempat tinggal D berjarak 9 km dari E.;;d
A, B. C, D, dan E tinggal di sepanjang sebuah jalan lurus dari timur ke barat sebagai berikut. 1) Tempat tinggal A berjarak 5 km dari B. 2) Tempat tinggal C berjarak 7 km dari D. 3) Tempat tinggal E berjarak 2 km dari C. 4) Tempat tinggal B berjarak 3 km dari C. 5) Jarak di antara rumah-rumah diukur hanya dengan garis lurus. Manakah yang berikut ini merupakan pernyataan yang salah?;Jarak antara rumah A dan rumah D = 5 km.;Jarak antara rumah B dan rumah D = 10 km.;Jarak antara rumah E dan rumah D = 9 km.;Jarak antara rumah A dan rumah C = 12 km.;;d
A, B. C, D, dan E tinggal di sepanjang sebuah jalan lurus dari timur ke barat sebagai berikut. 1) Tempat tinggal A berjarak 5 km dari B. 2) Tempat tinggal C berjarak 7 km dari D. 3) Tempat tinggal E berjarak 2 km dari C. 4) Tempat tinggal B berjarak 3 km dari C. 5) Jarak di antara rumah-rumah diukur hanya dengan garis lurus. Jika rumah B dan rumah E berada di sebelah timur rumah C, dan rumah D di sebelah barat rumah C, manakah berikut ini yang harus benar?;Rumah C lebih dekat ke rumah D daripada rumah E ke rumah B.;Rumah E lebih dekat ke rumah C daripada rumah B ke rumah E.;Rumah B lebih dekat ke rumah E daripada rumah C ke rumah D.;Rumah D lebih dekat ke rumah E daripada rumah C ke rumah B.;;c
A, B. C, D, dan E tinggal di sepanjang sebuah jalan lurus dari timur ke barat sebagai berikut. 1) Tempat tinggal A berjarak 5 km dari B. 2) Tempat tinggal C berjarak 7 km dari D. 3) Tempat tinggal E berjarak 2 km dari C. 4) Tempat tinggal B berjarak 3 km dari C. 5) Jarak di antara rumah-rumah diukur hanya dengan garis lurus. Jika C, berangkat dari rumahnya, mengunjungi D, B. dan E secara berturut-turut dan kemudian kembali ke rumah, berapakah jarak terpendek yang ia tempuh?;14 km;15 km;16 km;17 km;;a
$1,\frac { 1 }{ 2 } ,4,\frac { 1 }{ 8 } ,X…$;16;$\frac { 1 }{ 16 } $;12;$\frac { 1 }{ 12 } $;;a
B A C B D D E H .. ..;F O;O F;F P;P F;;c
2 3 5 8 13 .. ..;17 19;19 21;21 31;21 34;;d
1 2 4 3 9 5 16 7 25 11 36 .. ..;13 49;13 47;15 49;15 47;;a
2 6 3 9 6 18 15 .. ..;45 40;45 42;40 45;40 42;;b
$Jika\quad D\quad x\quad E\quad –\quad F\quad =\quad 14,\quad maka\quad D\quad +\quad E\quad +\quad F\quad =$;14;16;15;17;;c
"$Jika\quad 15\quad +\quad 9\quad =\quad 5;\quad 4\quad +\quad 30\quad =\quad 15;\quad dan\quad 7\quad +\quad 20\quad =\quad 8;\quad maka\quad 18\quad +\quad 7\quad =...$";10;9;7;6;;d
A tahun yang lalu Steven berusia B tahun. Berapakah usia Steven C tahun yang mendatang?;A + B + C;ABC;A – B + C;AB – C;;a
$Jika\quad $\frac { 1 }{ m } -\frac { 1 }{ n } =\frac { 1 }{ p } ,\quad maka\quad p\quad sama\quad dengan...$;$\frac { (mn) }{ (n-n) } $;$\frac { (mn) }{ (n-m) } $;$\frac { (m-n) }{ (mn) } $;mn;;b
$Jika\quad panjang\quad setiap\quad sisi\quad bujur\quad sangkar\quad adalah\quad (\frac { 2a }{ 4 } )\quad +\quad 1.\quad Berapakah\quad kelilingnya?$;2a+4;Tidak bisa ditentukan;a+1;2a + 1;;a
$Separuh\quad pelamar\quad sejenis\quad pekerjaan\quad gagal\quad karena\quad tidak\quad memenuhi\quad syarat\quad administratif.\quad Tiga\quad pelamar\quad lainnya\quad gagal\quad setelah\quad wawancara\quad sehingga\quad tinggal\quad \frac { 2 }{ 5 } \quad dari\quad seluruh\quad pelamar.\quad Berapakah\quad jumlah\quad pelamar\quad untuk\quad pekerjaan\quad tersebut?$;5;10;20;30;;d
$Bagaimanakah\quad hubungan\quad antara\quad { x }^{ 2 }\quad dan\quad { x }^{ 3 }?$;${ x }^{ 2 }\quad >\quad { x }^{ 3 }$;${ x }^{ 2 }\quad =\quad { x }^{ 3 }$;${ x }^{ 2 }\quad <\quad { x }^{ 3 }$;Tidak dapat ditentukan;;d
Sebidang tanah yang berbentuk persegi dengan lebar 110 m dan panjang 600 m dibagi dua dengan sebuah garis diagonal. Berapa meterkah panjang pagar yang diperlukan untuk menutup salah satu bagian tanah tersebut?;1220m;610m;1320m;615m;;c
$Ibu\quad Ani\quad dan\quad Ibu\quad Budi\quad berbelanja\quad pada\quad pasar\quad tradisional.\quad Ibu\quad Ani\quad harus\quad membayar\quad Rp10.700,00\quad untuk\quad 4\quad bungkus\quad kopi\quad hitam\quad dan\quad 3\quad kaleng\quad susu.\quad Ibu\quad Budi\quad harus\quad membayar\quad Rp14.900,00\quad untuk\quad 3\quad bungkus\quad kopi\quad hitam\quad dan\quad 5\quad kaleng\quad susu.\quad Berapakah\quad harga\quad sebungkus\quad kopi\quad hitam?$;Rp800,00;Rp750,00;Rp700,00;Rp950,00;;a
$(\quad 155\quad x\quad 217\quad )\quad +\quad (\quad 329\quad x\quad 155\quad )\quad +\quad (\quad 155\quad x\quad 254\quad )\quad =\quad …$;121.000;122.000;123.000;124.000;;d
$Sebuah\quad helikopter\quad melakukan\quad pengurangan\quad ketinggian\quad secara\quad konstan\quad dari\quad 9000m\quad menjadi\quad 6000m\quad dalam\quad 18\quad menit.\quad Jika\quad pengurangan\quad ketinggian\quad tersebut\quad dilakukan\quad terus\quad sampai\quad ketinggian\quad 4500m,\quad waktu\quad yang\quad diperlukan\quad menjadi....$;25;27;29;31;;b
$Danu\quad memperoleh\quad nilai\quad 71,\quad 99,\quad 78\quad dan\quad 82\quad pada\quad empat\quad ujian\quad matematika.\quad Berapa\quad nilai\quad yang\quad harus\quad diperoleh\quad untuk\quad ujian\quad matematika\quad kelima\quad agar\quad Danu\quad memperoleh\quad nilai\quad rata-rata\quad 83?$;86;82;84;85;;d
3 1 13 11 31 29 57 55 ... ;93 89;91 89;91 87;89 91;;b
41 37 35 35 31 29 29 ...;31;29;27;25;;d
5 7 15 19 33 39 ...;59 67;59 65;57 65;55 65;;a
